long,lat,mag,X_mercator,Y_mercator
-179,-15,-49.25,-10610170.856671814,-899454.5934235862
-179,-14,-49.27,-10610170.856671814,-838228.8587875245
-179,-13,-33.22,-10610170.856671814,-777268.9963288383
-179,-12,-21.2,-10610170.856671814,-716554.2915674171
-179,-11,-21.87,-10610170.856671814,-656064.4275175896
-179,-10,-29.57,-10610170.856671814,-595779.4484052088
-179,-9,-37.42,-10610170.856671814,-535679.7248347529
-179,-8,-42.09,-10610170.856671814,-475745.9202509508
-179,-7,-46.04,-10610170.856671814,-415958.95854917984
-179,-6,-53.41,-10610170.856671814,-356299.9926974128
-179,-5,-75.57,-10610170.856671814,-296750.37423989875
-179,-4,-109.83,-10610170.856671814,-237291.6235591521
-179,-3,-129.13,-10610170.856671814,-177905.40077825566
-179,-2,-123.67,-10610170.856671814,-118573.47719003899
-179,-1,-100.96,-10610170.856671814,-59277.70710340471
-179,0,-72.02,-10610170.856671814,0.0
-179,1,-48.21,-10610170.856671814,59277.70710340471
-179,2,-34.27,-10610170.856671814,118573.47719003899
-179,3,-29.88,-10610170.856671814,177905.40077825566
-179,4,-21.97,-10610170.856671814,237291.6235591521
-179,5,-7.7,-10610170.856671814,296750.37423989875
-179,6,3.68,-10610170.856671814,356299.9926974128
-179,7,7.55,-10610170.856671814,415958.95854917984
-179,8,5.71,-10610170.856671814,475745.9202509508
-179,9,1.73,-10610170.856671814,535679.7248347529
-179,10,-0.2,-10610170.856671814,595779.4484052088
-179,11,0.87,-10610170.856671814,656064.4275175896
-179,12,3.78,-10610170.856671814,716554.2915674171
-179,13,3.83,-10610170.856671814,777268.9963288383
-179,14,2.55,-10610170.856671814,838228.8587875245
-179,15,4.12,-10610170.856671814,899454.5934235862
-179,16,6.71,-10610170.856671814,960967.3501110679
-179,17,6.87,-10610170.856671814,1022788.7538131509
-179,18,3.87,-10610170.856671814,1084940.94626637
-179,19,-1.59,-10610170.856671814,1147446.6298631658
-179,20,-6.87,-10610170.856671814,1210329.11396013
-179,21,-9.95,-10610170.856671814,1273612.363859635
-179,22,-10.3,-10610170.856671814,1337321.0527354085
-179,23,-7.95,-10610170.856671814,1401480.616798391
-179,24,-4.26,-10610170.856671814,1466117.314028258
-179,25,-1.57,-10610170.856671814,1531258.2868287156
-179,26,-0.25,-10610170.856671814,1596931.6290016281
-179,27,0.23,-10610170.856671814,1663166.4574767638
-179,28,0.16,-10610170.856671814,1729992.9892811559
-179,29,-0.42,-10610170.856671814,1797442.6242855263
-179,30,-1.08,-10610170.856671814,1865548.0343258735
-179,31,-0.9,-10610170.856671814,1934343.2593672343
-179,32,-0.29,-10610170.856671814,2003863.8114550377
-179,33,-0.07,-10610170.856671814,2074146.7872889389
-179,34,-0.44,-10610170.856671814,2145230.9903561836
-179,35,-1.13,-10610170.856671814,2217157.0636785803
-179,36,-1.45,-10610170.856671814,2289967.6343614184
-179,37,-1.55,-10610170.856671814,2363707.4712870806
-179,38,-1.67,-10610170.856671814,2438423.6574741653
-179,39,-1.6,-10610170.856671814,2514165.778828651
-179,40,-1.48,-10610170.856671814,2590986.131252102
-179,41,-2.28,-10610170.856671814,2668939.9483489143
-179,42,-3.9,-10610170.856671814,2748085.652297438
-179,43,-4.51,-10610170.856671814,2828485.1308270334
-179,44,-3.44,-10610170.856671814,2910204.0436853105
-179,45,-0.92,-10610170.856671814,2993312.1624999014
-179,46,2.42,-10610170.856671814,3077883.7485526614
-179,47,5.58,-10610170.856671814,3163997.9737107884
-179,48,7.64,-10610170.856671814,3251739.3906227383
-179,49,8.09,-10610170.856671814,3341198.4593167556
-179,50,7.54,-10610170.856671814,3432472.1385733904
-179,51,6.46,-10610170.856671814,3525664.55192683
-179,52,5.35,-10610170.856671814,3620887.739941865
-179,53,3.42,-10610170.856671814,3718262.5125877024
-179,54,0.37,-10610170.856671814,3817919.4181811535
-179,55,-1.93,-10610170.856671814,3919999.8486208925
-179,56,-2.69,-10610170.856671814,4024657.30463745
-179,57,-3.7,-10610170.856671814,4132058.8497432065
-179,58,-5.25,-10610170.856671814,4242386.787747845
-179,59,-5.89,-10610170.856671814,4355840.606456783
-179,60,-5.14,-10610170.856671814,4472639.239957092
-179,61,-3.41,-10610170.856671814,4593023.714338441
-179,62,-2.39,-10610170.856671814,4717260.257635295
-179,63,-2.45,-10610170.856671814,4845643.975356215
-179,64,-2.33,-10610170.856671814,4978503.219764019
-179,65,-1.91,-10610170.856671814,5116204.816284378
-179,66,-2.33,-10610170.856671814,5259160.357144937
-179,67,-3.1,-10610170.856671814,5407833.834996518
-179,68,-3.0,-10610170.856671814,5562750.974221075
-179,69,-2.98,-10610170.856671814,5724510.734238345
-179,70,-3.79,-10610170.856671814,5893799.621304472
-179,71,-4.12,-10610170.856671814,6071409.6741232835
-179,72,-2.97,-10610170.856671814,6258261.316551574
-179,73,-0.94,-10610170.856671814,6455432.748868278
-179,74,0.65,-10610170.856671814,6664198.259637625
-179,75,0.6,-10610170.856671814,6886078.91842339
-179,76,-0.14,-10610170.856671814,7122910.7844191175
-179,77,-0.43,-10610170.856671814,7376938.436567015
-179,78,-0.24,-10610170.856671814,7650946.01674496
-179,79,-0.03,-10610170.856671814,7948445.427955284
-179,80,0.26,-10610170.856671814,8273954.485169323
-179,81,0.59,-10610170.856671814,8633422.118044501
-179,82,0.96,-10610170.856671814,9034905.06735451
-179,83,1.68,-10610170.856671814,9489698.822323818
-179,84,3.19,-10610170.856671814,10014346.264941249
